material_id,formula,bandgap,formation_energy,stability,volume,density,n_sites,crystal_system,spacegroup,is_stable,is_metal
mp-1194200,Zn2S2O11,0.0,-0.712243718666667,0.778230655333332,549.8996694712393,2.240272981838964,30,Triclinic,P-1,False,True
mp-1003314,KMn2O4,0.43569999999999903,-1.964762960444581,0.000468158571428,94.53310523964342,3.740999606328794,7,Triclinic,P-1,False,False
mp-634326,GaHO2,3.2607,-1.8985905559375,0.0,131.26608643773145,5.198197072861824,16,Orthorhombic,Pnma,True,False
mp-768695,Ho2Ti2O7,3.0657,-3.791100260378852,0.0,508.8655443355667,7.017098621729491,44,Monoclinic,P2_1,True,False
mp-546111,Cr3AgO8,1.2442,-1.641716069305554,0.0,316.4177298657328,4.112822985233676,24,Monoclinic,C2/m,True,False
mp-31238,Ba3(SbO3)2,2.9311,-2.57293931060607,0.0,680.2436564365897,5.503428570074368,33,Triclinic,P-1,True,False
mp-771197,Li4Co7O16,0.039900000000000005,-1.363077550864197,0.07255958163510101,528.0216548252967,4.379408928679571,54,Monoclinic,P2_1,False,False
mp-28948,Cs2V4O9,0.0,-2.470897988954024,0.000670898666666,501.14643615665284,4.066114726969449,30,Tetragonal,I-42d,False,True
mp-882363,Na4(NiO2)9,0.0,-1.249281269919353,0.0,341.6021094435464,4.414735941666,31,Triclinic,P-1,True,True
mp-1105410,Cr(NO2)2,0.0,-0.34176705142857,0.8707746008928511,270.8942749057915,1.765481500123504,14,Monoclinic,Pm,False,True
mp-1199904,FeBO3,1.517599999999999,-2.178420955583333,0.09194137625000201,402.110928972674,3.787766300929518,40,Monoclinic,P2_1/c,False,False
mp-1047480,Ca(AgO2)2,0.936199999999999,-1.30943989440476,0.034030966785723,382.9404990852579,5.547183661545747,28,Orthorhombic,Pbcm,False,False
mp-1180275,Na2SnO6,0.0,-1.109567930862069,0.26803829638888704,116.10518111461582,3.728336504336019,9,Monoclinic,C2/m,False,True
mp-1182545,Ba(H8O5)2,3.904099999999999,-1.356523320185185,0.039766610555555006,503.62362689408326,2.066990855767233,54,Triclinic,P1,False,False
mp-651839,Hg8Br3O4,0.2505,-0.50311097516667,0.11647193799999801,1787.1309978905388,7.092981791254035,60,Monoclinic,P2_1/c,False,False
mp-1186167,NaSiO3,0.0,-2.354524145275862,0.25805614525000303,45.165596736968496,3.6424929169235902,5,Cubic,Pm-3m,False,True
mp-600032,SiO2,5.756600000000001,-3.25127456111111,0.02155678277778,1583.6908623835047,1.5119970183355012,72,Orthorhombic,Cmcm,False,False
mp-2224256,MgV4O10,0.7715000000000001,-2.439309516333333,0.085699345333326,186.74520334896303,3.4506754729114553,15,Monoclinic,Pm,False,False
mp-1094046,Ti(HO)2,0.0,-1.6069642411666671,0.49786902999999905,85.47855855943962,3.181329464845651,10,Orthorhombic,Pnnm,False,True
mp-1105736,BeSO8,0.0,-0.38726319025000006,0.9942397860000001,279.0214663483976,2.012399254210506,20,Tetragonal,I4/mcm,False,True
mp-621945,La2Ge2O7,3.7144,-3.036669459090908,0.0,314.08444009142926,5.657920752336456,22,Triclinic,P1,True,False
mp-541338,AlPO4,5.7862,-3.108515839107142,0.018656363888887,1679.2740333949048,1.447107869503017,72,Monoclinic,C2/c,False,False
mp-772272,Li2Cr2O7,2.5315,-1.8047218365151512,0.09105176421212101,571.1831667756254,2.673104793295046,44,Monoclinic,P2_1/c,False,False
mp-752692,K2SnO2,1.6021,-1.6840047264,0.0,435.80195156144936,3.4887990555691992,20,Triclinic,P-1,True,False
mp-767704,Li9Mn15O32,0.0,-2.017955204267241,0.049731564196414,552.7532101216543,4.201328624878323,56,Monoclinic,C2/m,False,True
mp-559637,Dy(IO3)3,3.415199999999999,-1.489033097243589,0.0,775.3894587960796,5.886774624237196,52,Monoclinic,P2_1/c,True,False
mp-755863,Fe3(O2F)2,0.0,-1.753093644999999,0.138175792067902,202.2554788554866,4.425730382755136,18,Orthorhombic,Cmmm,False,True
mp-1406000,YBiO3,2.295,-2.6425287170000002,0.155270851875,168.4330736052438,6.819974598344834,10,Hexagonal,P6_3/mmc,False,False
mp-758396,Mn2(CO3)3,0.06080000000000001,-1.799767930061578,0.067721146011898,361.4820775926705,2.663451043090367,28,Trigonal,R3,False,False
mp-16785,Pu(TeO3)2,0.0,-2.103132600231479,0.05792975999999601,561.6184801029617,7.039276017544766,36,Monoclinic,P2_1/c,False,True
mp-3302527,Yb5(BiO4)3,0.42100000000000004,-2.4559820632500022,0.571765163999998,266.50130451699135,10.493645835486758,20,Triclinic,P-1,False,False
mp-1341686,Cr(GeO3)2,0.6698000000000001,-1.9649467622222212,0.155390633888873,228.25151345617022,4.267138789447389,18,Monoclinic,C2/c,False,False
mp-19092,CoWO4,0.0,-1.918304684166666,0.0,137.22105676351921,7.424587765233815,12,Monoclinic,P2/c,True,True
mp-1201339,Co3(SO6)2,0.046199999999999006,-1.239274287794117,0.17613537867647103,861.1927018280833,3.33901823167867,68,Orthorhombic,Pbcm,False,False
mp-17289,CoMoO4,0.0,-1.698526819583333,0.008511477291672,296.42306254184524,4.904389051496202,24,Monoclinic,C2/m,False,True
mp-1048391,BaFe4O7,1.7176,-1.6807526491666671,0.249175818749992,385.3641334806176,4.073765034652276,24,Hexagonal,P6_3mc,False,False
mp-770537,LiMn2O3,0.0,-2.071978841949234,0.045457722916666006,246.62961133176168,4.438756990130531,24,Monoclinic,C2/c,False,True
mp-780913,Na2VO3,1.8406,-2.121673409626436,0.18367160374999503,266.4681417564284,3.6123501375375913,24,Orthorhombic,Fdd2,False,False
mp-780192,Li5FeO4,2.6187,-1.9949778201666661,0.047047924500001004,409.7584523334605,2.505205942552939,40,Triclinic,P1,False,False
mp-753823,CeTh3O8,1.78,-4.252385752499997,0.005250926666667001,172.12313096288236,9.302258816349953,12,Orthorhombic,Cmmm,False,False
mp-1201741,DyRe3O16,0.062299999999999,-1.458103592958333,0.40998827559375,1446.908933595471,4.485511463636727,80,Orthorhombic,Pna2_1,False,False
mp-27917,Ca3SiO5,3.6973000000000003,-3.377056406481481,0.061661223240740005,374.5045906199834,3.037039950605738,27,Trigonal,R3m,False,False
mp-850329,Fe4O3F5,1.4662,-2.150087667083333,0.09176807138889301,286.0178995377237,4.254083800279363,24,Triclinic,P-1,False,False
mp-16837,Nb3AgO8,1.5603,-2.657896582222223,0.036487265357145006,282.78068652154496,6.043442507840113,24,Orthorhombic,Ibam,False,False
mp-764701,Li8Mn5O10,0.4868,-2.038509285927037,0.049697650434781006,232.2309705264655,3.505202379734456,23,Triclinic,P1,False,False
mp-1079940,Sr3CaO4,3.294499999999999,-3.099418741249999,0.033803752499999,134.89874705543693,4.516801764481276,8,Cubic,Pm-3m,False,False
mp-1400848,TeO3,0.4174,-0.6431961529166661,0.69848499125,144.8543882511298,4.025941839181607,8,Hexagonal,P6_3/mmc,False,False
mp-3252850,AcIO4,3.9429,-1.8792328300000012,0.0,210.95169005968174,6.579162404635985,12,Orthorhombic,Cmcm,True,False
mp-33029,Nd2O3,0.9185999999999991,-2.852723037999999,0.9288243034999971,91.1948195742304,6.126903270648087,5,Cubic,Pm-3m,False,False
mp-759488,W3O7F,0.0,-2.159910014545452,0.038461548333325005,137.84112043155352,8.222085647408411,11,Orthorhombic,Cmmm,False,True
mp-755330,Fe6O7F5,0.0,-1.8971448388888872,0.11129792557098901,201.55101430929133,4.465907467191448,18,Triclinic,P1,False,True
mp-1048803,Al2NiO4,0.0,-2.780542017857144,0.022199475714286,272.67335025056,4.303185422340991,28,Orthorhombic,Imma,False,True
mp-754203,SmErO3,4.8916,-3.9000115280000003,0.059511754124999004,290.47141479305986,8.360501076547395,20,Orthorhombic,Pnma,False,False
mp-625105,H2CO2,3.2846,-0.748908933999999,0.5497098675000001,272.3708339505714,1.122395381863535,20,Orthorhombic,Pna2_1,False,False
mp-759192,FeOF,0.0,-1.989602906666668,0.13601318518518402,261.0786067532792,4.622302087757277,24,Monoclinic,Pm,False,True
mp-849306,Fe10O9F11,0.0,-2.063628061666667,0.10848388883333301,351.9342126157644,4.300406564784262,30,Monoclinic,Pm,False,True
mp-756433,Li5Co7O12,0.0,-1.453554391944444,0.213133941458333,208.21176645984906,5.098014773993832,24,Monoclinic,C2,False,True
